;Carbon Dioxide Emissions per capita (tonnes);Forest area (thousand ha);GDP per capita in PPP terms (constant 2005 international $);Health index;Life expectancy at birth (years);Population total both sexes (thousands);Under-five mortality rate (per 1,000 live births)
Norway;31.7;9301;43642;0.926;78.7;4490.9;5
Oman;33.7;2;17903;0.851;74.0;2264.2;22
Pakistan;2.7;2116;1931;0.680;63.1;144522.2;108
Panama;7.2;3369;8147;0.855;74.2;2956.1;26
Papua New Guinea;1.8;30133;1947;0.611;58.7;5378.8;77
Paraguay;2.5;19368;3789;0.789;70.0;5343.5;30
Peru;4.4;69213;5513;0.796;70.5;25861.9;40
Philippines;3.8;7117;2587;0.738;66.8;77310.0;38
Poland;28.7;9059;11753;0.847;73.7;38302.4;9
Portugal;22.7;342;21102;0.892;76.6;10336.2;7
Qatar;206.5;0;62111;0.889;76.4;591.0;14
Romania;14.5;6366;6837;0.796;70.5;22191.7;22
Russian Federation;35.9;809269;8613;0.710;65.0;146757.5;24
Rwanda;0.3;344;673;0.419;46.6;8098.3;180
Saint Kitts and Nevis;8.2;11;12112;0.792;70.2;46.1;21
Saint Lucia;7.9;47;8339;0.815;71.7;157.1;17
Saint Vincent and the Grenadines;5.0;26;6056;0.795;70.4;107.9;23
Samoa;2.9;171;3059;0.778;69.3;176.5;34
Saudi Arabia;52.5;977;19732;0.809;71.3;20045.3;23
Senegal;1.4;8898;1464;0.564;55.8;9505.9;120
Seychelles;25.5;41;18243;0.817;71.8;78.7;14
Sierra Leone;0.5;2922;416;0.312;39.8;4143.1;250
Singapore;47.8;2;36793;0.926;78.7;3919.3;4
Slovakia;24.1;1921;12718;0.841;73.3;5404.8;10
Slovenia;26.7;1233;19722;0.881;75.9;1985.4;5
Solomon Islands;1.5;2268;2225;0.675;62.8;408.7;37
South Africa;29.8;9241;7641;0.549;54.8;44760.4;77
Spain;27.0;16988;25129;0.932;79.1;40288.5;5
Sri Lanka;2.0;2082;3068;0.803;70.9;18745.1;21
Sudan*;0.6;70491;1325;0.583;57.0;34187.7;115
Suriname;17.9;14776;4977;0.755;67.9;466.8;38
Swaziland;4.1;518;4032;0.453;48.7;1063.8;105
Sweden;20.5;27389;29156;0.941;79.6;8860.2;4
Switzerland;19.7;1194;34713;0.945;79.9;7167.9;6
Syrian Arab Republic;14.1;432;3725;0.853;74.1;15988.5;22
Tajikistan;2.5;410;1002;0.687;63.6;6172.8;94
Tanzania (United Republic of);0.3;37462;866;0.480;50.4;34038.2;139
Thailand;12.2;19004;5568;0.828;72.5;63155.0;20
Togo;0.9;486;792;0.550;54.8;4793.5;124
Tonga;4.5;9;3846;0.801;70.8;97.9;20
Trinidad and Tobago;69.1;234;1387;0.764;68.5;1292.1;34
Tunisia;7.6;837;5444;0.829;72.6;9456.1;27
Turkey;12.0;10146;9409;0.780;69.5;63627.9;42
Turkmenistan;29.0;4127;2322;0.693;63.9;4501.4;71
Uganda;0.2;3869;765;0.412;46.1;24213.1;154
Ukraine;22.9;951;3696;0.747;67.4;48891.8;19
United Arab Emirates;143.1;310;44641;0.858;74.4;3033.5;11
United Kingdom;34.2;2793;29588;0.910;77.7;58874.1;7
United States;73.9;300195;39578;0.896;76.8;282496.3;8
Uruguay;5.9;1412;9609;0.863;74.7;3319.1;18
Uzbekistan;17.6;3212;1632;0.741;67.0;24775.6;62
Vanuatu;1.6;440;382;0.748;67.4;185.1;25
Venezuela (Bolivarian Republic of);21.8;49151;9564;0.827;72.4;24348.3;23
Viet Nam;2.5;11725;1597;0.821;72.0;78758.0;29
Zambia;0.6;51134;1001;0.347;42.0;10201.6;166
